,county_number ,county_name     ,region ,location1 ,location2 ,1/1/2010 ,2/1/2010 ,3/1/2010 ,4/1/2010 ,5/1/2010 ,6/1/2010 ,7/1/2010 ,8/1/2010 ,9/1/2010 ,10/1/2010 ,11/1/2010 ,12/1/2010 ,1/1/2011 ,2/1/2011 ,3/1/2011 ,4/1/2011 ,5/1/2011 ,6/1/2011 ,7/1/2011 ,8/1/2011 ,9/1/2011 ,10/1/2011 ,11/1/2011 ,12/1/2011 ,1/1/2012 ,2/1/2012 ,3/1/2012 ,4/1/2012 ,5/1/2012 ,6/1/2012 ,7/1/2012 ,8/1/2012 ,9/1/2012 ,10/1/2012 ,11/1/2012 ,12/1/2012 ,1/1/2013 ,2/1/2013 ,3/1/2013 ,4/1/2013 ,5/1/2013 ,6/1/2013 ,7/1/2013 ,8/1/2013 ,9/1/2013 ,10/1/2013 ,11/1/2013 ,12/1/2013 ,1/1/2014 ,2/1/2014 ,3/1/2014 ,4/1/2014 ,5/1/2014 ,6/1/2014 ,7/1/2014 ,8/1/2014 ,9/1/2014 ,10/1/2014 ,11/1/2014 ,12/1/2014 ,1/1/2015 ,2/1/2015 ,3/1/2015 ,4/1/2015 ,5/1/2015 ,6/1/2015 ,7/1/2015 ,8/1/2015 ,9/1/2015 ,10/1/2015 ,11/1/2015 ,12/1/2015 ,1/1/2016 ,2/1/2016 ,3/1/2016 ,4/1/2016 ,5/1/2016 ,6/1/2016 ,7/1/2016 ,8/1/2016 ,9/1/2016 ,10/1/2016 ,11/1/2016 ,12/1/2016 ,1/1/2017 ,2/1/2017 ,3/1/2017 ,4/1/2017 ,5/1/2017 ,6/1/2017 ,7/1/2017 ,8/1/2017 ,9/1/2017 ,10/1/2017 ,11/1/2017 ,12/1/2017 ,1/1/2018 ,2/1/2018 ,3/1/2018 ,4/1/2018 ,5/1/2018 ,6/1/2018 ,7/1/2018 ,8/1/2018 ,9/1/2018 ,10/1/2018 ,11/1/2018 ,12/1/2018 ,1/1/2019 ,2/1/2019 ,3/1/2019 ,4/1/2019 ,5/1/2019 ,6/1/2019 ,7/1/2019 ,8/1/2019 ,9/1/2019 ,10/1/2019 ,11/1/2019 ,12/1/2019 ,1/1/2020 ,2/1/2020 ,3/1/2020 ,4/1/2020 ,5/1/2020 ,6/1/2020 ,7/1/2020 ,8/1/2020 ,9/1/2020 ,10/1/2020 ,11/1/2020 ,12/1/2020 ,1/1/2021 ,2/1/2021 ,3/1/2021 ,4/1/2021 ,5/1/2021 ,6/1/2021 ,7/1/2021 ,8/1/2021 ,9/1/2021 ,10/1/2021 ,11/1/2021 ,12/1/2021 ,1/22/2022 ,2/22/2022 ,3/22/2022 ,4/22/2022 ,5/22/2022 ,6/22/2022 ,7/22/2022 ,8/22/2022 ,9/22/2022 ,10/22/2022
0,1,Alameda         ,3,Coastal   ,North     ,383330   ,410230   ,432720   ,407830   ,472370   ,474520   ,458180   ,440480   ,424770   ,444670    ,434420    ,412210    ,363750   ,392660   ,420420   ,390960   ,415830   ,415300   ,420150   ,407420   ,390440   ,391710    ,396990    ,383430    ,340600   ,360670   ,372220   ,412590   ,430340   ,459760   ,473600   ,466760   ,454170   ,460670    ,467840    ,463010    ,466830   ,451580   ,523280   ,573000   ,593160   ,604600   ,614810   ,607240   ,604100   ,588600    ,607900    ,585440    ,559110   ,572630   ,623110   ,656140   ,680020   ,695210   ,688870   ,691500   ,652610   ,659660    ,670320    ,645680    ,610130   ,651950   ,713060   ,742340   ,763740   ,750000   ,765000   ,735000   ,731000   ,710000    ,730000    ,731500    ,  700000 ,  715000 ,  758000 ,  800000 ,  828000 ,  803000 ,  800000 ,  775000 ,  760000 ,   775000 ,   800000 ,   755000 ,  755000 ,  786000 ,  833750 ,  875000 ,  862000 ,  900000 ,  875500 ,  867500 ,  853000 ,   862450 ,   880000 ,   862000 ,  840000 ,  832000 ,  955000 ,  969300 , 1025000 , 1015000 ,  970000 ,  960000 ,  900000 ,   900000 ,   900000 ,   850000 ,  826000 ,  860000 ,  911000 ,  940000 ,  959000 ,  960000 ,  950000 ,  905500 ,  910000 ,   925000 ,   910000 ,   881500 ,  875000 ,  945000 ,  970500 , 1030000 ,  955000 ,  976000 , 1027500 , 1028220 , 1050000 ,  1049000 ,  1049040 ,  1060000 , 1060000 , 1100000 , 1163000 , 1300000 , 1312500 , 1300000 , 1300000 , 1300000 , 1300000 ,  1280000 ,  1300000 ,  1200000 ,  1250000 ,  1350000 ,  1430000 ,  1500000 ,  1545000 ,  1420000 ,  1340000 ,  1230000 ,  1240000 ,1250000.0
2,3,Amador          ,4,Inland    ,North     ,170000   ,190000   ,186000   ,170000   ,208330   ,188000   ,200000   ,172500   ,167500   ,186670    ,137500    ,173330    ,160000   ,200000   ,170000   ,130000   ,171250   ,152500   ,170000   ,145000   ,130000   ,147140    ,190000    ,142220    ,135000   ,176670   ,118750   ,183330   ,160000   ,146670   ,200000   ,175000   ,196670   ,192000    ,186670    ,177500    ,184000   ,225000   ,200000   ,193330   ,219440   ,233330   ,196670   ,213890   ,252780   ,198000    ,212500    ,192000    ,180000   ,206250   ,214290   ,190000   ,242860   ,238890   ,247500   ,211110   ,225000   ,265000    ,231250    ,229540    ,210710   ,271430   ,250000   ,227500   ,233330   ,256250   ,287000   ,335000   ,240500   ,267000    ,285000    ,275000    ,  215500 ,  275000 ,  307000 ,  235000 ,  268500 ,  319000 ,  275000 ,  257500 ,  243500 ,   276500 ,   275000 ,   272500 ,  295000 ,  265000 ,  314900 ,  327000 ,  350000 ,  337500 ,  320000 ,  334500 ,  315000 ,   309000 ,   348950 ,   305000 ,  330000 ,  318500 ,  340000 ,  335000 ,  331500 ,  335000 ,  327000 ,  335000 ,  325500 ,   325000 ,   312500 ,   314720 ,  324000 ,  316000 ,  320000 ,  336500 ,  342750 ,  320000 ,  312500 ,  329000 ,  325000 ,   322000 ,   348500 ,   300000 ,  335000 ,  328000 ,  335000 ,  350000 ,  321000 ,  337500 ,  355000 ,  353500 ,  359900 ,   366500 ,   360000 ,   355000 ,  386250 ,  406280 ,  430000 ,  415000 ,  427500 ,  461000 ,  416000 ,  425000 ,  432500 ,   430640 ,   432500 ,   399000 ,   400000 ,   449000 ,   440000 ,   445000 ,   445000 ,   424750 ,   395000 ,   447450 ,   400000 ,365000.0
3,4,Butte           ,4,Inland    ,North     ,250000   ,219230   ,250000   ,238000   ,236760   ,229464   ,235710   ,243420   ,225000   ,244050    ,208930    ,230000    ,180000   ,190000   ,222370   ,217040   ,222620   ,221050   ,196430   ,201320   ,197690   ,186150    ,207950    ,198750    ,194000   ,177860   ,200000   ,197620   ,211290   ,221050   ,215740   ,226090   ,207140   ,210940    ,223860    ,236460    ,208930   ,211760   ,250000   ,234000   ,238300   ,265000   ,239280   ,281820   ,250000   ,248330    ,255950    ,231100    ,227500   ,217650   ,221550   ,231670   ,237880   ,245000   ,276140   ,241450   ,235710   ,233780    ,241910    ,231820    ,231730   ,247320   ,233930   ,253850   ,261110   ,253660   ,265000   ,264250   ,248000   ,262000    ,235000    ,256500    ,  260000 ,  264960 ,  286810 ,  272750 ,  271000 ,  275000 ,  288750 ,  264120 ,  275000 ,   293000 ,   279000 ,   294250 ,  264000 ,  290000 ,  287500 ,  302900 ,  308000 ,  306500 ,  299900 ,  291000 ,  311900 ,   307700 ,   315000 ,   304000 ,  314750 ,  297000 ,  315000 ,  316000 ,  324100 ,  323000 ,  315000 ,  315000 ,  320000 ,   318000 ,   326940 ,   356560 ,  376000 ,  345450 ,  369000 ,  360000 ,  359000 ,  384000 ,  374280 ,  353150 ,  358750 ,   358250 ,   350000 ,   351720 ,  355860 ,  338750 ,  365000 ,  377500 ,  362000 ,  390000 ,  395000 ,  415000 ,  403300 ,   401500 ,   405000 ,   408460 ,  420000 ,  397000 ,  406000 ,  438500 ,  449000 ,  438000 ,  454500 ,  435000 ,  440880 ,   460000 ,   435000 ,   439500 ,   456000 ,   426500 ,   465000 ,   467250 ,   500000 ,   445000 ,   450000 ,   441000 ,   429780 ,438750.0
4,5,Calaveras       ,1,Inland    ,North     ,166000   ,193333   ,185000   ,193333   ,191999   ,192499   ,201667   ,203125   ,172222   ,194999    ,180000    ,182000    ,163333   ,153333   ,170000   ,157142   ,147500   ,198332   ,150000   ,163750   ,161429   ,180000    ,148571    ,161429    ,156249   ,170000   ,154285   ,133749   ,170000   ,152999   ,191249   ,166666   ,154999   ,171111    ,180000    ,156249    ,180000   ,190000   ,213235   ,202941   ,210000   ,190000   ,223684   ,225000   ,207692   ,217857    ,202273    ,202500    ,204167   ,220454   ,238888   ,239062   ,243332   ,253409   ,240789   ,240000   ,233330   ,247370    ,230550    ,243750    ,228120   ,230000   ,258330   ,258330   ,296870   ,256580   ,270000   ,249000   ,262000   ,246940    ,246250    ,270000    ,  258750 ,  262500 ,  270000 ,  276000 ,  287500 ,  315000 ,  291000 ,  310000 ,  285000 ,   300050 ,   268500 ,   288000 ,  285000 ,  294500 ,  292000 ,  318500 ,  300000 ,  310000 ,  324500 ,  345000 ,  340000 ,   298000 ,   318000 ,   285000 ,  306500 ,  311500 ,  325000 ,  340000 ,  329000 ,  313000 ,  330000 ,  340000 ,  328000 ,   302500 ,   325000 ,   310000 ,  335000 ,  340000 ,  308250 ,  340000 ,  375000 ,  330000 ,  325500 ,  346360 ,  330000 ,   356110 ,   343500 ,   339500 ,  343500 ,  355000 ,  352000 ,  332250 ,  330000 ,  363000 ,  349900 ,  381000 ,  392000 ,   393640 ,   407120 ,   397500 ,  398500 ,  441500 ,  435850 ,  475000 ,  473800 ,  488280 ,  463500 ,  485000 ,  468500 ,   432000 ,   465320 ,   489000 ,   467500 ,   510000 ,   492000 ,   504500 ,   525000 ,   495000 ,   459900 ,   464950 ,   450000 ,414500.0
6,7,Contra-Costa    ,4,Coastal   ,North     ,274100   ,278350   ,287800   ,298850   ,308330   ,326970   ,318110   ,313200   ,310840   ,289830    ,281400    ,287080    ,257930   ,267270   ,273350   ,286320   ,283950   ,299360   ,292620   ,294060   ,282000   ,275710    ,279330    ,275180    ,258430   ,252150   ,283010   ,317140   ,345180   ,341100   ,364020   ,334080   ,352260   ,330370    ,346370    ,360110    ,339340   ,346670   ,386410   ,462720   ,484640   ,491080   ,508720   ,482530   ,454760   ,446060    ,457080    ,451490    ,397760   ,441280   ,464350   ,494280   ,519670   ,510990   ,546580   ,538510   ,499220   ,490480    ,457630    ,483330    ,442440   ,476340   ,491780   ,553030   ,557060   ,555000   ,550000   ,560000   ,525000   ,505000    ,550000    ,500000    ,  500000 ,  529000 ,  548780 ,  565000 ,  595000 ,  625000 ,  625000 ,  570000 ,  549900 ,   535650 ,   569000 ,   550000 ,  540000 ,  554250 ,  585000 ,  653694 ,  653000 ,  660000 ,  633250 ,  627860 ,  605000 ,   615000 ,   615000 ,   600000 ,  555000 ,  610000 ,  655000 ,  689660 ,  687500 ,  702370 ,  680000 ,  650000 ,  650000 ,   657000 ,   641000 ,   612500 ,  595000 ,  649480 ,  644000 ,  679000 ,  700360 ,  698000 ,  660000 ,  672750 ,  656000 ,   681250 ,   640000 ,   665000 ,  614000 ,  635250 ,  711000 ,  710000 ,  690000 ,  750500 ,  785000 ,  805000 ,  783000 ,   787250 ,   810000 ,   763000 ,  765000 ,  817500 ,  920000 ,  990000 , 1015000 ,  990000 ,  940000 ,  889500 ,  897000 ,   900500 ,   876000 ,   830000 ,   829000 ,   935000 ,   965900 ,  1050000 ,  1025000 ,   976940 ,   902500 ,   870000 ,   882000 ,867000.0
7,8,Del Norte       ,1,Coastal   ,North     ,185000   ,194999   ,190000   ,160000   ,150000   ,140000   ,150000   ,185000   ,95000    ,140000    ,125000    ,150000    ,225000   ,216666   ,140000   ,125000   ,160000   ,208333   ,173333   ,110000   ,190000   ,163333    ,250000    ,154999    ,140000   ,120000   ,146666   ,134999   ,153333   ,160000   ,180000   ,180000   ,170000   ,237499    ,150000    ,180000    ,140000   ,160000   ,165000   ,140000   ,147500   ,137499   ,156666   ,110000   ,125000   ,180000    ,140000    ,125000    ,130000   ,225000   ,160000   ,160000   ,170000   ,200000   ,163333   ,157500   ,140000   ,157500    ,132500    ,155000    ,160000   ,200000   ,140000   ,132220   ,170000   ,212500   ,206000   ,190000   ,216500   ,249000    ,265000    ,195000    ,  157000 ,  175000 ,  199000 ,  315000 ,  189500 ,  198750 ,  201280 ,  174500 ,  239500 ,   264500 ,   225000 ,   232250 ,  218500 ,  265000 ,  130000 ,  239000 ,  220000 ,  165000 ,  204900 ,  214950 ,  224300 ,   220000 ,   214000 ,   251500 ,  198500 ,  216500 ,  200000 ,  239000 ,  214000 ,  312500 ,  210000 ,  249900 ,  205000 ,   223000 ,   250000 ,   243900 ,  217000 ,  245000 ,  253020 ,  216500 ,  256850 ,  353500 ,  275000 ,  264180 ,  280000 ,   247500 ,   252500 ,   276780 ,  227000 ,  297000 ,  233500 ,  240000 ,  338450 ,  242000 ,  332000 ,  283500 ,  308000 ,   325000 ,   308750 ,   346000 ,  399000 ,  359000 ,  309000 ,  364170 ,  415000 ,  358500 ,  355000 ,  357500 ,  437500 ,   360100 ,   384390 ,   291000 ,   372500 ,   390000 ,   398000 ,   357500 ,   320000 ,   400690 ,   376000 ,   378960 ,   418750 ,389900.0
8,9,El Dorado       ,3,Inland    ,North     ,325000   ,307576   ,311956   ,311956   ,318000   ,335227   ,325581   ,290151   ,296211   ,275862    ,289843    ,298809    ,279545   ,248999   ,278333   ,278124   ,262000   ,295454   ,265150   ,277680   ,238750   ,256580    ,241670    ,266410    ,250000   ,242570   ,277270   ,257410   ,277270   ,252840   ,280830   ,268380   ,279170   ,276350    ,282260    ,292420    ,283570   ,307900   ,329170   ,344170   ,338240   ,342250   ,350760   ,355840   ,334910   ,367390    ,361860    ,360580    ,335000   ,332050   ,385710   ,366950   ,374240   ,372950   ,385160   ,391670   ,364650   ,355800    ,374540    ,385230    ,375000   ,384880   ,393400   ,405170   ,436510   ,410320   ,420750   ,383000   ,399000   ,385000    ,394950    ,413750    ,  405000 ,  422000 ,  435010 ,  432000 ,  429500 ,  461550 ,  425000 ,  425000 ,  419000 ,   419000 ,   442000 ,   434500 ,  414250 ,  419500 ,  450000 ,  474500 ,  469000 ,  499000 ,  480500 ,  485000 ,  449950 ,   445000 ,   470000 ,   450000 ,  480000 ,  468000 ,  510000 ,  499999 ,  552000 ,  525000 ,  504000 ,  480000 ,  465000 ,   500000 ,   461750 ,   454500 ,  460000 ,  495000 ,  506160 ,  524000 ,  521380 ,  497500 ,  510500 ,  525000 ,  489900 ,   490000 ,   485000 ,   465000 ,  442120 ,  465000 ,  507500 ,  500000 ,  535000 ,  510000 ,  550000 ,  570000 ,  588000 ,   559000 ,   585000 ,   538350 ,  600000 ,  577500 ,  652500 ,  654750 ,  688000 ,  702000 ,  655000 ,  680890 ,  650000 ,   615000 ,   665000 ,   620000 ,   607500 ,   730000 ,   750000 ,   711000 ,   728750 ,   715000 ,   650000 ,   631000 ,   647450 ,684000.0
9,10,Fresno          ,2,Inland    ,Central   ,145965   ,152741   ,150963   ,148230   ,157520   ,161176   ,150000   ,149880   ,155060   ,149460    ,146020    ,145280    ,136020   ,141360   ,138120   ,130200   ,136850   ,135490   ,137100   ,141500   ,139030   ,140100    ,141470    ,136740    ,128200   ,139280   ,134690   ,140100   ,141580   ,150000   ,149060   ,151110   ,159130   ,151850    ,148240    ,157620    ,151450   ,158950   ,160510   ,173860   ,167770   ,175820   ,183870   ,184000   ,185830   ,182620    ,193020    ,190350    ,184120   ,182270   ,202100   ,192880   ,199540   ,201080   ,201530   ,203760   ,208210   ,200600    ,200000    ,204430    ,211470   ,210320   ,213960   ,217510   ,216110   ,223150   ,225000   ,220000   ,220000   ,215000    ,225000    ,225000    ,  216000 ,  214250 ,  231000 ,  229000 ,  232000 ,  241000 ,  235700 ,  239000 ,  240000 ,   240000 ,   238000 ,   239500 ,  238000 ,  230000 ,  247250 ,  244090 ,  250000 ,  260000 ,  258000 ,  259000 ,  265000 ,   254950 ,   264000 ,   259750 ,  245450 ,  266440 ,  264950 ,  260000 ,  279980 ,  275500 ,  280000 ,  280000 ,  267000 ,   272000 ,   265750 ,   266500 ,  270000 ,  265000 ,  280000 ,  271250 ,  284900 ,  283000 ,  284400 ,  285000 ,  296000 ,   287000 ,   291500 ,   285000 ,  289950 ,  289950 ,  282500 ,  290000 ,  295000 ,  313950 ,  320000 ,  322000 ,  325000 ,   331500 ,   323500 ,   325500 ,  325000 ,  350000 ,  350000 ,  355000 ,  361500 ,  375000 ,  370000 ,  375000 ,  380000 ,   385000 ,   385000 ,   395000 ,   395500 ,   405000 ,   415000 ,   425000 ,   420000 ,   425000 ,   407000 ,   405000 ,   415000 ,400000.0
10,11,Glenn           ,1,Inland    ,North     ,160000   ,150000   ,120000   ,146000   ,166666   ,106666   ,182500   ,134999   ,180000   ,126666    ,125000    ,118332    ,190000   ,85000    ,110000   ,125000   ,122000   ,100000   ,142500   ,96428    ,154999   ,95000     ,120000    ,120000    ,200000   ,113333   ,95000    ,154999   ,98749    ,162000   ,130000   ,160000   ,163333   ,120000    ,160000    ,180000    ,150000   ,110000   ,130000   ,185000   ,160000   ,136666   ,140000   ,134999   ,133999   ,125000    ,150000    ,190000    ,180000   ,200000   ,140000   ,170000   ,152500   ,175000   ,145000   ,170000   ,147500   ,167500    ,95000     ,176670    ,162500   ,220000   ,190000   ,153330   ,170000   ,253120   ,177500   ,206000   ,231250   ,201500    ,190000    ,174500    ,  159975 ,  197500 ,  196000 ,  225000 ,  175000 ,  205000 ,  225000 ,  230500 ,  220500 ,   185050 ,   215000 ,   197500 ,  221000 ,  181500 ,  211000 ,  230000 ,  200000 ,  210000 ,  205000 ,  225000 ,  207500 ,   215000 ,   232000 ,   230000 ,  228500 ,  219600 ,  244500 ,  215000 ,  230000 ,  227710 ,  235000 ,  225500 ,  227500 ,   253000 ,   225000 ,   246500 ,  225000 ,  281000 ,  250000 ,  241250 ,  245000 ,  250000 ,  268750 ,  270000 ,  266500 ,   245000 ,   330000 ,   252000 ,  315000 ,  288250 ,  288500 ,  282000 ,  323250 ,  295000 ,  257500 ,  263500 ,  347520 ,   287500 ,   334750 ,   297500 ,  247500 ,  319500 ,  325000 ,  302500 ,  384000 ,  310000 ,  320000 ,  302500 ,  327500 ,   307000 ,   360000 ,   345000 ,   332500 ,   412500 ,   320000 ,   281260 ,   417000 ,   325000 ,   360000 ,   327500 ,   327000 ,310000.0
11,12,Humboldt        ,6,Coastal   ,North     ,246874   ,232499   ,270652   ,265480   ,261960   ,242856   ,250000   ,252780   ,247220   ,240280    ,271880    ,248440    ,244790   ,238890   ,250000   ,225000   ,250000   ,243750   ,233000   ,223860   ,250000   ,228950    ,223440    ,227630    ,220000   ,232950   ,223330   ,240280   ,229810   ,251140   ,229690   ,218750   ,223610   ,243270    ,238040    ,216670    ,234720   ,231670   ,225000   ,251190   ,233930   ,251090   ,267050   ,247220   ,251090   ,260530    ,239280    ,254170    ,270590   ,218750   ,230680   ,238460   ,254350   ,248960   ,247000   ,255260   ,246050   ,260340    ,262500    ,263000    ,263890   ,250000   ,253120   ,256250   ,250000   ,273280   ,274900   ,268000   ,270000   ,255000    ,275000    ,285000    ,  247800 ,  265540 ,  280000 ,  277500 ,  270000 ,  284000 ,  307900 ,  290000 ,  290000 ,   305000 ,   289000 ,   295000 ,  296500 ,  297500 ,  295000 ,  300000 ,  289500 ,  302500 ,  307500 ,  316750 ,  325000 ,   305450 ,   310000 ,   319500 ,  300000 ,  291700 ,  313500 ,  309000 ,  314900 ,  331250 ,  310000 ,  315000 ,  315000 ,   315000 ,   310000 ,   308000 ,  325500 ,  298000 ,  310000 ,  305000 ,  315000 ,  340000 ,  334370 ,  320000 ,  345000 ,   325000 ,   328190 ,   318500 ,  308000 ,  310390 ,  330000 ,  317000 ,  340750 ,  317000 ,  349000 ,  340000 ,  345000 ,   379500 ,   351000 ,   370000 ,  366000 ,  360000 ,  359000 ,  425000 ,  400000 ,  420000 ,  413000 ,  408500 ,  430000 ,   420000 ,   450750 ,   450290 ,   425000 ,   452500 ,   430000 ,   464300 ,   458500 ,   435000 ,   480000 ,   465000 ,   460000 ,439500.0
