table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,1-Apr-10,,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,37253956.00,37254519.00,37319502.00,37638369.00,37948800.00,38260787.00,38596972.00,38918045.00,39167117.00,39358497.00,39461588.00,39512223.00
Alameda,1510271.00,1510258.00,1512986.00,1530915.00,1553764.00,1579593.00,1607792.00,1634538.00,1650950.00,1660196.00,1666756.00,1671329.00
Alpine,1175.00,1175.00,1161.00,1093.00,1110.00,1128.00,1080.00,1077.00,1047.00,1111.00,1089.00,1129.00
Amador,38091.00,38091.00,37886.00,37543.00,37104.00,36620.00,36726.00,37031.00,37429.00,38529.00,39405.00,39752.00
Butte,220000.00,220005.00,219949.00,219975.00,220869.00,221641.00,223516.00,224631.00,226231.00,228696.00,230339.00,219186.00
Calaveras,45578.00,45578.00,45468.00,45160.00,44815.00,44655.00,44671.00,44965.00,45322.00,45681.00,45698.00,45905.00
Colusa,21419.00,21407.00,21437.00,21323.00,21284.00,21250.00,21176.00,21231.00,21496.00,21579.00,21418.00,21547.00
Contra Costa,1049025.00,1049204.00,1052540.00,1065440.00,1077548.00,1093401.00,1108876.00,1124405.00,1137268.00,1145535.00,1150519.00,1153526.00
Del Norte,28610.00,28610.00,28566.00,28443.00,28190.00,27816.00,27175.00,27190.00,27382.00,27351.00,27740.00,27812.00
El Dorado,181058.00,181058.00,181136.00,180936.00,180575.00,181481.00,183108.00,184569.00,185976.00,188679.00,190746.00,192843.00
Fresno,930450.00,930507.00,932039.00,939406.00,945045.00,951514.00,960567.00,969488.00,976830.00,985238.00,991950.00,999101.00
Glenn,28122.00,28122.00,28127.00,28139.00,27851.00,27809.00,27831.00,27753.00,27840.00,27926.00,27967.00,28393.00
Humboldt,134623.00,134611.00,135009.00,135243.00,134572.00,134403.00,134494.00,135102.00,136290.00,136507.00,136244.00,135558.00
Imperial,174528.00,174524.00,174716.00,175786.00,176575.00,176438.00,177974.00,178937.00,180179.00,181649.00,181523.00,181215.00
Inyo,18546.00,18542.00,18511.00,18392.00,18351.00,18357.00,18292.00,18108.00,17922.00,17868.00,17946.00,18039.00
Kern,839631.00,839621.00,840996.00,847970.00,853606.00,862000.00,869176.00,876031.00,880856.00,887356.00,893758.00,900202.00
Kings,152982.00,152974.00,152370.00,151868.00,150991.00,150337.00,149495.00,150085.00,149382.00,149665.00,151382.00,152940.00
Lake,64665.00,64662.00,64735.00,64251.00,63954.00,63796.00,64044.00,64260.00,63903.00,64111.00,64317.00,64386.00
Lassen,34895.00,34895.00,34831.00,34246.00,33629.00,32129.00,31664.00,31256.00,30721.00,30920.00,30618.00,30573.00
Los Angeles,9818605.00,9819968.00,9823246.00,9876482.00,9935375.00,9992484.00,10040072.00,10085416.00,10105708.00,10103711.00,10073906.00,10039107.00
Madera,150865.00,150834.00,150986.00,151675.00,151527.00,151370.00,153456.00,153576.00,153956.00,155423.00,156882.00,157327.00
Marin,252409.00,252430.00,252904.00,255376.00,256061.00,258409.00,260359.00,260916.00,260562.00,259749.00,259662.00,258826.00
Mariposa,18251.00,18247.00,18277.00,18170.00,17881.00,17809.00,17714.00,17622.00,17456.00,17414.00,17405.00,17203.00
Mendocino,87841.00,87850.00,87799.00,87334.00,87288.00,87054.00,87225.00,87107.00,87285.00,87576.00,87401.00,86749.00
Merced,255793.00,255796.00,256721.00,259297.00,260867.00,262026.00,264419.00,266353.00,267628.00,271096.00,274151.00,277680.00
Modoc,9686.00,9682.00,9694.00,9509.00,9351.00,9145.00,9068.00,9056.00,8961.00,8876.00,8800.00,8841.00
Mono,14202.00,14206.00,14257.00,14422.00,14331.00,14067.00,14134.00,14077.00,14273.00,14354.00,14403.00,14444.00
Monterey,415057.00,415059.00,416373.00,420456.00,424788.00,426712.00,428475.00,430552.00,433953.00,434534.00,433950.00,434061.00
Napa,136484.00,136535.00,136759.00,137691.00,138538.00,139580.00,140405.00,140862.00,140840.00,139878.00,138789.00,137744.00
