RegionName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
Los Angeles County,1926.991658,1938.786435,1946.578305,1956.065493,1967.670532,1981.210212,1993.703092,2003.165124,2018.872077,2030.592885,2046.19884,2058.896659,2074.784287,2083.7553,2089.804972,2097.94158,2105.899129,2115.774421,2121.973673,2129.903848,2138.165941,2150.22499,2165.091059,2178.386276,2190.893754,2204.615929,2215.745275,2223.968669,2231.763146,2239.32881,2247.641482,2253.135788,2264.750882,2274.850979,2285.718526,2292.38444,2300.875099,2310.474615,2318.359918,2329.774131,2336.731814,2348.790859,2355.628592,2364.54638,2375.760677,2388.116558,2400.483504,2405.719632,2410.381524,2417.657871,2422.883597,2432.620217,2436.229587,2444.76158,2449.152037,2456.000167,2464.050775,2474.55025,2483.790873,2488.817158,2486.809942,2473.182541,,2435.023068,2427.424061,2422.484311,2417.85318,2418.618814,2429.95794,2435.314054,2435.063537,2432.550953,2438.962025,2455.843141,2477.945833,2506.503871,2538.337255,2582.075781,2619.710844,2654.0442,2676.709096,2705.127333,2729.390246,2755.51364,2779.814053,2812.161093,2842.625892,2861.876621,2873.41682,2883.985603,2897.074676,2903.093932
San Diego County,1856.685365,1867.381695,1869.745495,1873.392157,1879.740423,1890.184201,1903.705846,1912.147995,1923.2279,1932.153032,1941.917116,1948.490387,1960.56753,1971.618979,1983.987759,1991.097194,1994.000792,1997.235302,2004.439556,2016.930404,2024.253581,2027.164396,2031.523995,2044.730837,2058.467239,2073.718558,2085.049742,2095.581455,2105.974516,2113.062165,2120.261623,2128.137393,2130.076497,2137.686259,2145.538435,2158.473904,2169.066975,2178.154211,2188.61277,2198.091807,2207.73861,2218.179503,2229.321578,2236.834856,2243.879368,2247.124265,2251.026683,2251.217573,2255.106475,2262.995324,2270.368693,2276.513842,2283.602151,2292.735204,2302.747339,2314.350434,2321.154722,2328.048693,2331.364774,2336.997629,2338.300892,2323.093159,2305.604388,2297.101147,2305.708518,2316.099635,2329.341761,2347.270712,2370.469909,2391.541968,2401.295018,2406.399854,2417.678099,2448.82748,2489.734215,2530.370755,2577.109976,2635.257744,2696.886005,2745.4991,2784.332791,2814.892902,2828.215924,2852.863786,2886.838216,2944.770447,2986.26782,3025.931781,3058.815591,3091.57601,3103.283044,3105.048761
Orange County,2052.889792,2060.48352,2067.330181,2066.518918,2072.299061,2078.178906,2089.502867,2097.021556,2112.96566,2121.372982,2134.875433,2141.072509,2148.707551,2151.305807,2157.044931,2163.411984,2172.984745,2170.783778,2181.002769,2186.692639,2204.965395,2203.391959,2210.709347,2218.053184,2234.329264,2245.171634,2249.796596,2251.805738,2256.538123,2258.745098,2266.41093,2272.534368,2284.795464,2289.485097,2297.82446,2303.155593,2311.344731,2314.966506,2315.212155,2315.170174,2315.162447,2316.832472,2323.059608,2334.805858,2351.873745,2361.853947,2366.276197,2366.152644,2369.058991,2374.077877,2378.684864,2384.309571,2389.214742,2394.138287,2403.379747,2411.606305,2424.186986,2431.306351,2442.049074,2449.221109,2453.170039,2431.490642,2403.510733,2377.794441,2376.952427,2384.175158,2401.001504,2420.316837,2439.23123,2453.150205,2469.746791,2484.997623,2510.396312,2534.103229,2566.328576,2608.052692,2677.346686,2772.616246,2858.380609,2916.197567,2950.016592,2970.655412,2992.109527,3012.521461,3045.851889,3073.644785,3099.087148,3116.758818,3135.532385,3145.326093,3142.566938,3133.555281
Riverside County,1466.764157,1478.829383,1484.176391,1484.616665,1488.07003,1494.84012,1508.634337,1514.023309,1524.281208,1526.519707,1531.469576,1535.012216,1541.983922,1547.182113,1551.887124,1557.744367,1565.348587,1568.66772,1578.698517,1582.586239,1592.324627,1591.524249,1605.027133,1610.771541,1626.416978,1640.756768,1656.092291,1661.923767,1663.66356,1671.236876,1683.299316,1691.895778,1698.435345,1698.859571,1705.955871,1713.894021,1725.508303,1733.786488,1736.185488,1742.543203,1748.571913,1760.267302,1772.143736,1785.700434,1793.715673,1802.878724,1802.83059,1807.396164,1812.365426,1823.697128,1831.551401,1834.500003,1839.000252,1848.363904,1858.606995,1866.195403,1870.174694,1878.960196,1883.198037,1892.619627,1895.465499,1892.682097,1884.832871,1886.381536,1902.589067,1933.877402,1963.033593,1995.289339,2025.691588,2050.295838,2062.87879,2083.547565,2111.184931,2158.498895,2193.331214,2237.882156,2282.294547,2341.496039,2389.570565,2420.596337,2447.034712,2453.565477,2481.639629,2491.110014,2533.559052,2560.15893,2587.892966,2599.390237,2611.373135,2618.506622,2620.565363,2610.557825
San Bernardino County,1474.114843,1483.571327,1488.001663,1494.213734,1491.235435,1498.391606,1507.474262,1514.627143,1519.301225,1523.504424,1532.554717,1539.527501,1549.658006,1557.842798,1564.737155,1569.236046,1573.610351,1579.661178,1584.179895,1590.358373,1588.736477,1592.946393,1601.166843,1616.7092,1627.408,1636.076887,1646.532431,1656.150003,1666.248553,1670.283053,1674.662588,1680.393052,1688.672469,1692.829705,1698.158873,1709.044118,1722.460801,1732.890283,1738.332646,1748.454265,1760.842961,1771.223525,1780.489474,1783.585985,1786.472647,1790.04233,1798.029286,1811.311735,1816.096591,1817.451346,1818.614898,1821.894028,1837.760748,1846.372524,1855.532055,1856.306526,1860.64856,1868.533174,1878.726872,1888.93307,1891.082627,1877.328057,1867.531422,1872.69969,1900.334785,1932.640512,1969.1332,1999.011297,2024.01012,2038.827328,2058.200406,2086.766331,2121.04488,2165.959371,2205.393843,2249.315683,2294.555701,2335.406739,2363.460695,2370.721166,2359.932859,2384.556651,2409.155171,2459.054027,2476.567057,2505.424722,2522.184158,2541.007139,2556.865037,2551.005527,2554.444827,2542.773081
Santa Clara County,2649.706062,2676.441767,2666.876162,2685.256635,2711.867516,2739.082734,2755.808502,2761.965813,2777.307969,2797.737986,2811.073232,2849.632741,2860.790666,2862.258505,2833.943609,2812.772953,2817.209799,2800.944807,2808.431748,2779.007414,2785.325175,2780.593204,2806.682596,2845.009485,2865.291238,2875.44195,2863.35357,2862.836166,2874.826115,2875.696401,2895.160519,2882.791544,2896.364706,2892.093551,2913.136093,2946.695482,2967.535447,2982.30568,2971.416327,2973.413788,2980.242357,2989.887506,3002.764056,3000.79323,3009.805675,3010.504207,3025.255616,3053.874465,3071.651717,3077.246914,3056.980358,3045.59208,3049.829022,3061.346394,3074.747447,3071.460973,3081.335846,3090.274606,3111.049818,3140.870663,3154.037144,3133.159757,3075.37339,3022.60798,2987.154987,2948.030271,2923.46455,2891.946711,2884.874272,2863.524766,2862.823946,2864.212634,2873.463607,2887.774785,2904.305581,2932.386175,2971.979245,3013.10121,3051.654843,3077.822907,3100.397927,3118.282901,3143.878505,3178.475673,3206.375293,3237.473011,3249.060635,3279.086808,3305.408984,3333.418026,3346.569695,3342.409443
Alameda County,2182.299239,2217.009463,2230.838872,2247.717665,2270.310716,2303.455049,2326.500771,2345.142696,2360.634117,2370.975945,2392.809818,2408.295907,2437.980164,2447.778879,2455.208079,2457.80322,2473.787345,2479.271397,2475.334933,2466.444869,2465.273361,2475.57111,2482.961708,2509.278646,2526.633864,2538.190736,2531.597263,2545.143207,2565.304768,2575.550161,2567.391432,2560.369751,2566.445701,2581.712014,2595.374988,2607.884637,2619.253495,2627.490568,2628.719615,2633.980524,2645.196012,2653.490427,2652.67837,2655.389278,2656.562631,2673.494968,2682.990868,2698.190165,2704.870512,2709.822458,2708.362788,2711.93947,2720.080578,2722.32129,2721.187299,2713.064016,2718.209595,2733.449543,2759.594074,2774.342641,2777.229545,2764.852066,2744.591347,2725.343728,2713.819953,2691.280693,2675.46949,2653.8131,2661.577641,2650.162496,2650.981781,2643.452698,2658.645517,2669.81172,2684.109186,2707.115163,2741.300827,2764.004934,2775.087327,2783.177459,2797.13312,2833.717508,2847.930874,2878.492206,2882.271674,2904.712241,2913.684669,2928.747853,2942.828461,2945.639384,2937.671944,2923.818645
Sacramento County,1267.991306,1274.048598,1279.56265,1286.33731,1292.43339,1306.734422,1319.492153,1330.637703,1335.326923,1339.84658,1347.817462,1354.786365,1365.270672,1378.104333,1393.209764,1405.957548,1411.416921,1423.216994,1421.948201,1430.444005,1435.902667,1454.472358,1464.178399,1477.186805,1491.434984,1503.965956,1519.443061,1530.378316,1542.973157,1552.517271,1563.652073,1575.449778,1579.052517,1582.465685,1586.625118,1594.581233,1601.745523,1609.890742,1620.675883,1632.321614,1640.077814,1649.764025,1652.818479,1662.124436,1668.156718,1678.472643,1681.696936,1689.205955,1696.948974,1708.405227,1712.152968,1719.022174,1722.482104,1728.253574,1735.172607,1742.919683,1754.619657,1753.907065,1761.235851,1769.66814,1777.449596,1777.764268,1767.593221,1771.509444,1781.00029,1799.699355,1821.128819,1838.553973,1860.079409,1870.845382,1886.028762,1896.015428,1910.90541,1934.542827,1973.866737,2009.246768,2046.053571,2068.992166,2089.873292,2102.316275,2117.651582,2132.084714,2141.807122,2149.072967,2166.397816,2182.923519,2195.838768,2205.647801,2209.978573,2212.818473,2208.427587,2214.477735
Contra Costa County,2040.831794,2049.21058,2050.964252,2072.833093,2099.444774,2121.455126,2133.733088,2146.145699,2158.824287,2169.697638,2173.992051,2202.260992,2217.866086,2240.476614,2251.604794,2264.867087,2277.192675,2277.115829,2268.40084,2269.245089,2279.832661,2297.811524,2299.023217,2311.829969,2326.208658,2344.216641,2350.896573,2366.215039,2376.25878,2385.035642,2394.344596,2392.91528,2411.944223,2418.020049,2436.825371,2439.036794,2451.77511,2463.614719,2464.812324,2465.697617,2465.339724,2474.15031,2481.837657,2493.653837,2514.961191,2531.272419,2539.560919,2543.523401,2551.114971,2556.85742,2566.380766,2567.19949,2574.314963,2569.597119,2575.461519,2575.881705,2592.777249,2602.861961,2614.742404,2620.045121,2624.599995,2620.519945,2623.688913,2615.425777,2612.769489,2608.347948,2615.824442,2631.546188,2651.725969,2671.918377,2682.242704,2692.120904,2699.886923,2718.808952,2731.306046,2750.654105,2765.454394,2797.886347,2816.141571,2840.186494,2866.174522,2885.48371,2895.798519,2900.609775,2927.044655,2953.116411,2970.376588,2968.728953,2976.627825,2992.198368,2997.405022,3000.239415
Fresno County,1174.055963,1179.137937,1181.191081,1186.714245,1193.019788,1188.459229,1185.404378,1188.615716,1197.598457,1206.504739,1206.366977,1209.762697,1216.469212,1219.425763,1225.613356,1227.366926,1239.921859,1244.669153,1249.456002,1243.910065,1247.787007,1251.236512,1257.690367,1262.747,1269.938456,1278.046789,1290.376193,1298.28062,1312.619331,1314.459223,1319.759086,1324.721606,1328.224318,1335.86711,1331.350572,1340.713695,1344.95548,1352.672532,1360.598556,1361.548732,1377.278427,1379.336086,1388.390146,1392.506514,1397.4789,1408.886754,1409.384523,1426.643066,1431.80982,1443.371233,1442.217596,1448.615005,1461.593298,1473.446657,1481.317509,1485.799757,1492.948155,1503.529447,1514.117505,1525.378975,1527.766458,1510.15729,1498.538231,1500.344878,1516.428233,1534.713101,1551.825693,1573.198598,1589.410898,1599.751627,1617.534427,1635.20424,1663.640123,1699.805244,1744.922944,1788.634097,1837.848542,1882.604097,1908.036248,1903.000572,1903.133946,1898.572412,1909.455456,1906.734197,1921.480207,1936.924833,1960.681179,1973.472627,1966.512752,1967.173844,1970.725947,2001.487963
