county_number,,region,location1,location2,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,% change 2010-2019
1,Alameda County,3,Coastal,North,1510271,1510258,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329,0.094740772
2,Alpine County,4,Inland,North,1175,1175,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129,-0.028343667
3,Amador County,4,Inland,North,38091,38091,37886,37543,37104,36620,36726,37031,37429,38529,39405,39752,0.046941034
4,Butte County,1,Inland,North,220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,-0.003481062
5,Calaveras County,4,Inland,North,45578,45578,45468,45160,44815,44655,44671,44965,45322,45681,45698,45905,0.00951966
6,Colusa County,1,Inland,North,21419,21407,21437,21323,21284,21250,21176,21231,21496,21579,21418,21547,0.005105119
7,Contra Costa County,3,Coastal,North,1049025,1049204,1052540,1065440,1077548,1093401,1108876,1124405,1137268,1145535,1150519,1153526,0.087545491
8,Del Norte County,2,Coastal,North,28610,28610,28566,28443,28190,27816,27175,27190,27382,27351,27740,27812,-0.0271106
9,El Dorado County,1,Inland,North,181058,181058,181136,180936,180575,181481,183108,184569,185976,188679,190746,192843,0.060707415
10,Fresno County,6,Inland,Central,930450,930507,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,0.067122343
11,Glenn County,1,Inland,North,28122,28122,28127,28139,27851,27809,27831,27753,27840,27926,27967,28393,0.009368506
12,Humboldt County,2,Coastal,North,134623,134611,135009,135243,134572,134403,134494,135102,136290,136507,136244,135558,0.004049927
13,Imperial County,10,Inland,Southern,174528,174524,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,0.035863477
14,Inyo County,6,Inland,Central,18546,18542,18511,18392,18351,18357,18292,18108,17922,17868,17946,18039,-0.02616553
15,Kern County,6,Inland,Central,839631,839621,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202,0.065769683
16,Kings County,6,Inland,Central,152982,152974,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940,0.003726952
17,Lake County,2,Coastal,North,64665,64662,64735,64251,63954,63796,64044,64260,63903,64111,64317,64386,-0.005420433
18,Lassen County,1,Inland,North,34895,34895,34831,34246,33629,32129,31664,31256,30721,30920,30618,30573,-0.139273215
19,Los Angeles County,8,Coastal,Southern,9818605,9819968,9823246,9876482,9935375,9992484,10040072,10085416,10105708,10103711,10073906,10039107,0.021502012
20,Madera County,4,Inland,North,150865,150834,150986,151675,151527,151370,153456,153576,153956,155423,156882,157327,0.040304589
21,Marin County,3,Coastal,North,252409,252430,252904,255376,256061,258409,260359,260916,260562,259749,259662,258826,0.022880236
22,Mariposa County,4,Inland,North,18251,18247,18277,18170,17881,17809,17714,17622,17456,17414,17405,17203,-0.062430971
23,Mendocino County,2,Coastal,North,87841,87850,87799,87334,87288,87054,87225,87107,87285,87576,87401,86749,-0.012103886
24,Merced County,4,Inland,North,255793,255796,256721,259297,260867,262026,264419,266353,267628,271096,274151,277680,0.075478969
25,Modoc County,1,Inland,North,9686,9682,9694,9509,9351,9145,9068,9056,8961,8876,8800,8841,-0.096482298
26,Mono County,4,Inland,North,14202,14206,14257,14422,14331,14067,14134,14077,14273,14354,14403,14444,0.012946552
27,Monterey County,5,Coastal,North,415057,415059,416373,420456,424788,426712,428475,430552,433953,434534,433950,434061,0.040750033
28,Napa County,2,Coastal,North,136484,136535,136759,137691,138538,139580,140405,140862,140840,139878,138789,137744,0.007150947
29,Nevada County,1,Inland,North,98764,98747,98790,98701,98137,97938,98572,98676,98913,99367,99508,99755,0.009673701
30,Orange County,9,Coastal,Southern,3010232,3008989,3015171,3049271,3078068,3104950,3126537,3149280,3164986,3174289,3175973,3175692,0.050546778
31,Placer County,1,Inland,North,348432,348502,350021,356328,360263,365398,369217,372841,378943,385115,392330,398329,0.121276633
32,Plumas County,1,Inland,North,20007,20007,19914,19719,19377,18895,18622,18427,18665,18660,18741,18807,-0.058861062
33,Riverside County,7,Inland,Southern,2189641,2189765,2201576,2234070,2261204,2286755,2316162,2345816,2380081,2414964,2445789,2470546,0.108870671
34,Sacramento County,1,Inland,North,1418788,1418735,1421383,1433730,1444852,1457341,1474917,1493674,1510987,1527301,1538746,1552058,0.084194663
35,San Benito County,5,Coastal,North,55269,55265,55516,55977,56599,57239,57825,58216,59225,60164,61467,62808,0.11609986
36,San Bernardino County,7,Inland,Southern,2035210,2035183,2040848,2060827,2073512,2082738,2099181,2115411,2131960,2150945,2166753,2180085,0.063867693
37,San Diego County,10,Coastal,Southern,3095313,3095349,3103212,3137156,3174335,3209768,3248877,3280850,3306089,3321237,3333861,3338330,0.070429826
38,San Francisco County,3,Coastal,North,805235,805184,805505,815650,828876,839572,850750,863010,871512,878040,880696,881549,0.086261796
39,San Joaquin County,4,Inland,North,685306,685306,687127,694354,699593,702046,711579,722271,732809,743296,752491,762148,0.098433638
40,San Luis Obispo County,5,Coastal,Central,269637,269597,269802,271058,274160,275696,278227,280077,281803,282481,283354,283111,0.04700983
41,San Mateo County,3,Coastal,North,718451,718517,719699,728344,739224,748661,757204,765055,767906,768901,768681,766573,0.061147471
42,Santa Barbara County,5,Coastal,Southern,423895,423947,424231,425453,429699,434601,439045,442229,444340,445298,445780,446499,0.049872452
43,Santa Clara County,3,Coastal,North,1781642,1781686,1786040,1812054,1837853,1866425,1891753,1916285,1928368,1932510,1932337,1927852,0.073559589
44,Santa Cruz County,5,Coastal,Central,262382,262350,263147,264858,266340,268816,270861,273503,274396,274856,273841,273213,0.036843049
45,Shasta County,1,Inland,North,177223,177221,177274,177588,177875,178397,178844,178314,178571,179384,179709,180080,0.015581964
46,Sierra County,1,Inland,North,3240,3239,3220,3098,3067,3028,2972,2985,2951,3002,2997,3005,-0.071547421
47,Siskiyou County,1,Inland,North,44900,44900,44938,44615,44079,43532,43338,43254,43376,43622,43550,43539,-0.032132111
48,Solano County,3,Coastal,North,413344,413343,413967,416342,419674,423659,429006,433409,438858,443511,445725,447643,0.075229591
49,Sonoma County,2,Coastal,North,483878,483861,484755,487421,489993,494073,498560,500863,502547,502469,498643,494336,0.019381554
50,Stanislaus County,4,Inland,North,514453,514450,515145,517560,520424,523451,528015,533211,539255,544717,548126,550660,0.064495333
51,Sutter County,1,Inland,North,94737,94756,94751,94482,94189,94507,94778,95282,95742,96204,96348,96971,0.022893442
52,Tehama County,1,Inland,North,63463,63440,63559,63331,63212,62875,62801,63158,63453,63847,64018,65084,0.023431258
53,Trinity County,2,Coastal,North,13786,13784,13755,13685,13489,13427,13128,13094,12828,12726,12567,12285,-0.11965812
54,Tulare County,6,Inland,Central,442179,442182,442969,446784,449779,452460,455138,457161,459235,462308,464589,466195,0.049820354
55,Tuolumne County,4,Inland,North,55365,55368,55190,54830,54221,53997,53851,53615,53770,53976,54387,54478,-0.013069496
56,Ventura County,5,Coastal,Southern,823318,823398,825097,830099,833516,838136,842297,845802,847323,849044,848142,846006,0.024714955
57,Yolo County,1,Inland,North,200849,200855,201073,201954,204576,206292,208398,212037,215627,218477,220118,220500,0.088104308
58,Yuba County,1,Inland,North,72155,72142,72348,72489,72774,73090,73533,74045,74952,76578,77557,78668,0.080337621
